rank-1,rank-5,rank-10,rank-15,rank-20,rank-25,mAP,,,
1,1,1,1,1,1,0.92,,,
0.99,0.99,1,1,1,1,0.94,,,
1,1,1,1,1,1,0.95,,,
0.98,1,1,1,1,1,0.96,,,
0.99,1,1,1,1,1,0.97,,,
0.99,0.99,0.99,1,1,1,0.97,,,
0.99,0.99,1,1,1,1,0.97,,,
0.99,0.99,0.99,1,1,1,0.97,,,
,,,,,,,,,
,,,,,,,,,
rank-1,1,0.99,1,0.98,0.99,0.99,0.99,0.99,0.99125
rank-5,1,0.99,1,1,1,0.99,0.99,0.99,0.995
rank-10,1,1,1,1,1,0.99,1,0.99,0.9975
rank-15,1,1,1,1,1,1,1,1,1
rank-20,1,1,1,1,1,1,1,1,1
rank-25,1,1,1,1,1,1,1,1,1
mAP,0.92,0.94,0.95,0.96,0.97,0.97,0.97,0.97,
